ClienteID,Nombre,Edad,Plan,Sucursal,DiasAsistidosMes,Email
56,Carlos Fernandez,64.0,1,Naco,4,carlos56@gmail.com
17,Juan Reyes,47.0,3,Naco,29,
8,Yolanda Castillo,52.0,3,Naco,30,
25,Francisco Garcia,43.0,1,Naco,25,
7,Patricia Rodriguez,,2,Naco,23,
32,Ricardo Pena,43.0,1,Naco,24,
37,Yolanda Ortiz,42.0,2,Naco,15,
15,Manuel Mejia,51.0,3,Naco,25,
46,Esperanza Diaz,52.0,1,Naco,11,
11,Sofia Castillo,60.0,2,Naco,25,
40,Pedro Perez,96.0,1,Piantini,30,
48,Sofia Rodriguez,57.0,2,Naco,15,
14,Esperanza Pena,,1,Naco,4,esperanza14@gmail.com
29,Fernanda Castillo,,1,Naco,29,
47,Pedro Sanchez,48.0,2,Naco,25,
51,Bienvenido Castillo,30.0,1,Gazcue,21,
31,Altagracia Gomez,90.0,1,Piantini,15,altagracia31@gmail.com
26,Genesis Garcia,43.0,1,Piantini,0,
12,Victor Vargas,30.0,2,Gazcue,22,
45,Ramfis Reyes,24.0,1,,2,ramfis45@gmail.com
49,Alberto Pena,,3,Piantini,18,
34,Daniela Sanchez,54.0,2,Naco,12,
43,Bienvenido Martinez,23.0,1,Gazcue,28,
42,Francisco Sanchez,,3,Naco,21,francisco42@gmail.com
55,Daniela Martinez,,3,Gazcue,27,
57,Fernanda Gomez,64.0,1,Piantini,14,
27,Maria Lopez,59.0,1,Naco,14,
23,Rosa Mejia,60.0,3,Piantini,0,rosa23@gmail.com
20,Pedro Rodriguez,43.0,2,Naco,8,
4,Antonio Jimenez,64.0,1,Gazcue,29,
35,Eduardo Pena,93.0,2,Naco,20,eduardo35@gmail.com
38,Hector Mejia,28.0,2,Piantini,28,
22,Juan Castillo,57.0,3,Naco,20,
33,Manuel Sanchez,40.0,1,Naco,7,
59,Manuel Mejia,54.0,2,Naco,29,manuel59@gmail.com
18,Ramfis Estrella,22.0,2,Naco,22,
28,Ana Estrella,59.0,3,Piantini,1,
16,Jose Fernandez,28.0,3,Piantini,20,jose16@gmail.com
21,Gabriela Mejia,17.0,1,Gazcue,11,gabriela21@gmail.com
9,Marisol Lopez,,1,Piantini,18,
32,Ricardo Pena,43.0,1,Naco,24,
13,Julio Cruz,,3,Gazcue,25,
1,Ramfis De los Santos,28.0,1,Naco,17,
3,Rosa Diaz,54.0,2,Piantini,9,
52,Genesis Martinez,47.0,2,Naco,24,
44,Alberto Fernandez,,3,Gazcue,22,
39,Carlos Diaz,56.0,2,Piantini,6,carlos39@gmail.com
30,Mercedes Cruz,45.0,1,Naco,21,
54,Wilson Mejia,39.0,1,Piantini,13,wilson54@gmail.com
50,Ramon Fernandez,,1,Naco,4,
21,Gabriela Mejia,17.0,1,Gazcue,11,gabriela21@gmail.com
24,Bienvenido Gomez,21.0,1,Piantini,25,
60,Fernanda Cruz,17.0,3,Naco,13,
53,Carlos Martinez,47.0,2,,28,carlos53@gmail.com
6,Genesis Martinez,,3,Naco,16,
5,Miguel Garcia,47.0,3,Naco,18,miguel5@gmail.com
19,Ana Gomez,37.0,2,Naco,30,
60,Fernanda Cruz,17.0,3,Naco,13,
10,Maria Perez,54.0,1,Naco,27,
41,Rosa Jimenez,54.0,2,Naco,4,
58,Ramfis Reyes,27.0,3,Piantini,16,
36,Valentina Mejia,16.0,1,Gazcue,0,valentina36@gmail.com
2,Hector Mejia,47.0,3,Piantini,27,
